04/20/2026-16:21:28.263148  [**] [1:1000001:1] ALERTA: Ping detectado en la red [**] [Classification: (null)] [Priority: 3] {IPv6-ICMP} fe80:0000:0000:0000:283e:67ff:fe50:3348:143 -> ff02:0000:0000:0000:0000:0000:0000:0016:0
04/20/2026-16:43:06.784075  [**] [1:1000001:1] ALERTA: Ping detectado en la red [**] [Classification: (null)] [Priority: 3] {IPv6-ICMP} fe80:0000:0000:0000:c0f6:98ff:fe03:c19e:143 -> ff02:0000:0000:0000:0000:0000:0000:0016:0
04/20/2026-17:09:54.926937  [**] [1:1000001:1] ALERTA: Ping detectado en la red [**] [Classification: (null)] [Priority: 3] {ICMP} 172.16.10.4:8 -> 172.16.10.2:0
04/20/2026-17:09:54.927003  [**] [1:1000001:1] ALERTA: Ping detectado en la red [**] [Classification: (null)] [Priority: 3] {ICMP} 172.16.10.2:0 -> 172.16.10.4:0
04/21/2026-12:04:59.069444  [**] [1:1000001:1] ALERTA: Ping detectado en la red [**] [Classification: (null)] [Priority: 3] {IPv6-ICMP} fe80:0000:0000:0000:3017:f5ff:fea1:da12:143 -> ff02:0000:0000:0000:0000:0000:0000:0016:0
04/21/2026-12:06:53.097554  [**] [1:1000001:1] ALERTA: Ping detectado en la red [**] [Classification: (null)] [Priority: 3] {ICMP} 172.16.10.3:8 -> 172.16.10.2:0
04/21/2026-12:06:53.097574  [**] [1:1000001:1] ALERTA: Ping detectado en la red [**] [Classification: (null)] [Priority: 3] {ICMP} 172.16.10.2:0 -> 172.16.10.3:0
04/21/2026-12:15:51.275074  [**] [1:1000001:1] ALERTA: Ping detectado en la red [**] [Classification: (null)] [Priority: 3] {ICMP} 172.16.10.3:8 -> 172.16.10.5:0
04/21/2026-12:15:51.275092  [**] [1:1000001:1] ALERTA: Ping detectado en la red [**] [Classification: (null)] [Priority: 3] {ICMP} 172.16.10.5:0 -> 172.16.10.3:0
04/21/2026-12:27:56.954703  [**] [1:1000001:1] ALERTA: Ping detectado en la red [**] [Classification: (null)] [Priority: 3] {IPv6-ICMP} fe80:0000:0000:0000:18a9:79ff:fe14:1141:143 -> ff02:0000:0000:0000:0000:0000:0000:0016:0
04/21/2026-12:30:00.038472  [**] [1:999999:1] [TEST] Conexion TCP detectada hacia la Base de Datos [**] [Classification: (null)] [Priority: 3] {TCP} 172.16.10.5:40466 -> 172.16.10.3:4242
04/21/2026-12:41:57.213817  [**] [1:1000006:1] [TEST] Parametro yrange detectado en la red [**] [Classification: (null)] [Priority: 3] {TCP} 172.16.10.5:58770 -> 172.16.10.3:4242
